attempt_id,success,correct_answer,user_answer,total_time,mouse_move_count,avg_mouse_speed,max_mouse_speed,click_count,avg_click_interval,keypress_count,backspace_count,input_change_count,final_input_length,edit_distance,time_per_character,error_rate
1742923693688,False,,mdxpn,7925.0,56,0.3871582883403598,0.8998269729869621,0,0,0,0,5,5,5,1585.0,1.0
1742923750782,False,,gfp54,9740.0,10,0.5372217015531021,1.607843137254902,0,0,0,0,5,5,5,1948.0,1.0
1742923763489,True,xyncc,xyncc,7582.0,12,0.4573512159314812,1.64,0,0,0,0,5,5,0,1516.4,1.0
1742923774016,True,e7nx4,e7nx4,7326.0,12,0.45620510777260587,1.64,0,0,0,0,5,5,0,1465.2,1.0
1742923784227,True,e25xg,e25xg,7866.0,12,0.4617712484949483,1.6734693877551021,0,0,0,0,5,5,0,1573.2,1.0
1742923794973,True,88y52,88y52,7939.0,12,0.45743365749976644,1.6734693877551021,0,0,0,0,5,5,0,1587.8,1.0
1742923805815,True,6f857,6f857,8736.0,11,0.47508863052121425,1.607843137254902,0,0,0,0,5,5,0,1747.2,1.0
1742923817458,True,b84xc,b84xc,8466.0,12,0.45831230039217113,1.64,0,0,0,0,5,5,0,1693.2,1.0
1742923828770,True,x4f7g,x4f7g,10784.0,13,0.42612062968343334,1.6734693877551021,0,0,0,0,5,5,0,2156.8,1.0
1742923842476,False,mc35n,nc35n,7578.0,11,0.4778650283331579,1.64,0,0,0,0,5,5,1,1515.6,1.0
1742923852875,True,dd5w5,dd5w5,7666.0,12,0.45689776402327703,1.64,0,0,0,0,5,5,0,1533.2,1.0
1742923863372,True,2mg87,2mg87,8116.0,12,0.45918870176323373,1.6734693877551021,0,0,0,0,5,5,0,1623.2,1.0
1742923874379,True,7nnnx,7nnnx,7168.0,11,0.6468141827962761,3.727272727272727,0,0,0,0,5,5,0,1433.6,1.0
1742923884392,True,dce8y,dce8y,7518.0,13,0.4219854250821413,1.64,0,0,0,0,5,5,0,1503.6,1.0
1742923894729,True,yew6p,yew6p,9637.0,12,0.45389431536771796,1.64,0,0,0,0,5,5,0,1927.4,1.0
1742923907192,True,7d44m,7d44m,8638.0,12,0.4471611522429062,1.64,0,0,0,0,5,5,0,1727.6,1.0
1742923918714,True,5dxnm,5dxnm,9113.0,12,0.4581417192310701,1.64,0,0,0,0,5,5,0,1822.6,1.0
1742923930712,False,e43ym,e443ym,8743.0,12,0.4581417192310701,1.64,0,0,0,0,6,6,1,1457.1666666666667,1.0
1742923942343,True,wg625,wg625,9023.0,12,0.43741725234800627,1.64,0,0,0,0,5,5,0,1804.6,1.0
1742923954219,True,dmw8n,dmw8n,10601.0,12,0.45558409996613286,1.64,0,0,0,0,5,5,0,2120.2,1.0
1742923967758,False,pg2pm,pg2pmn,10355.0,12,0.4520599659455095,1.64,0,0,0,0,6,6,1,1725.8333333333333,1.0
1742923980962,True,x6pdb,x6pdb,8738.0,12,0.4548811191256532,1.64,0,0,0,0,5,5,0,1747.6,1.0
1742923992555,True,7gp47,7gp47,8442.0,12,0.4566942268979246,1.64,0,0,0,0,5,5,0,1688.4,1.0
1742924003834,True,67dey,67dey,7809.0,12,0.4396873752011623,1.6734693877551021,0,0,0,0,5,5,0,1561.8,1.0
1742924014451,True,6mege,6mege,9692.0,12,0.45803501129526203,1.64,0,0,0,0,5,5,0,1938.4,1.0
1742924026968,False,5mf7c,5nf7c,9643.0,13,0.4056696158533175,1.64,0,0,0,0,5,5,1,1928.6,1.0
1742924039429,True,82fx2,82fx2,9597.0,13,0.42421612089629196,1.6734693877551021,0,0,0,0,5,5,0,1919.4,1.0
1742924051882,True,664dn,664dn,7560.0,15,4.797645522113121,13.041131511916866,0,0,0,0,5,5,0,1512.0,1.0
1742924062254,True,cy3nw,cy3nw,6883.0,21,0.421978364892179,2.0621821344656595,0,0,0,0,5,5,0,1376.6,1.0
1742924071945,False,y5n6d,y5,9572.0,93,1.9631622144244187,17.590480380023735,0,0,0,0,2,2,3,4786.0,1.0
1742924085912,True,f228n,f228n,8910.0,8,0.6023020233479767,1.6734693877551021,0,0,0,0,5,5,0,1782.0,1.0
1742924097706,True,bm3p8,bm3p8,9996.0,11,0.497461568461701,1.64,0,0,0,0,5,5,0,1999.2,1.0
1742924110565,True,yyg5g,yyg5g,10572.0,15,2.9241405950649613,19.562899356946044,0,0,0,0,5,5,0,2114.4,1.0
1742924123947,False,wdww8,www8,5882.0,13,0.42210440678166106,1.64,0,0,0,0,4,4,1,1470.5,1.0
1742924132805,False,47e4p,47e,10842.0,58,1.4079700944018578,8.00390529679106,0,0,0,0,3,3,2,3614.0,1.0
1742924146468,True,44fyb,44fyb,9033.0,12,0.4602509377606663,1.64,0,0,0,0,5,5,0,1806.6,1.0
1742924158367,True,gn2xy,gn2xy,10099.0,11,0.49717882748761577,1.64,0,0,0,0,5,5,0,2019.8,1.0
1742924171329,False,3bnyf,3bmfr,9330.0,12,0.4701758492988389,1.64,0,0,0,0,5,5,3,1866.0,1.0
1742924183485,True,pybee,pybee,8968.0,10,0.5617294109715182,1.64,0,0,0,0,5,5,0,1793.6,1.0
1742924195318,True,gm2c2,gm2c2,9418.0,11,0.5010859861112175,1.64,0,0,0,0,5,5,0,1883.6,1.0
1742924207617,True,nbp3e,nbp3e,7685.0,12,0.4570627146195347,1.64,0,0,0,0,5,5,0,1537.0,1.0
1742924218175,True,2npg6,2npg6,9169.0,12,0.4388811267248882,1.64,0,0,0,0,5,5,0,1833.8,1.0
1742924230203,True,245y5,245y5,10192.0,12,0.43756695976671667,1.64,0,0,0,0,5,5,0,2038.4,1.0
1742924243250,True,pyf65,pyf65,8681.0,13,0.42406381287386924,1.64,0,0,0,0,5,5,0,1736.2,1.0
1742924254774,True,nfcb5,nfcb5,7788.0,12,0.45941805504337796,1.64,0,0,0,0,5,5,0,1557.6,1.0
1742924265422,False,dyxnc,dyxxc,10402.0,11,0.4784649659747556,1.607843137254902,0,0,0,0,5,5,1,2080.4,1.0
1742924278669,True,c86md,c86md,7956.0,11,0.49979918968893,1.64,0,0,0,0,5,5,0,1591.2,1.0
1742924289458,True,y4ec2,y4ec2,9002.0,11,0.4984728716715779,1.64,0,0,0,0,5,5,0,1800.4,1.0
1742924301274,False,6f2yc,6fxc,8132.0,12,0.4592280774638471,1.64,0,0,0,0,4,4,2,2033.0,1.0
1742924312217,True,y4n6m,y4n6m,7744.0,12,0.4583236288282441,1.64,0,0,0,0,5,5,0,1548.8,1.0
1742924322788,True,pmd3w,pmd3w,7608.0,12,0.4585087033516295,1.6734693877551021,0,0,0,0,5,5,0,1521.6,1.0
1742924333199,True,en32e,en32e,6520.0,11,0.5000375834859887,1.6734693877551021,0,0,0,0,5,5,0,1304.0,1.0
1742924342533,True,befbd,befbd,8611.0,12,0.453200170265492,1.64,0,0,0,0,5,5,0,1722.2,1.0
1742924353969,True,wb3ed,wb3ed,10075.0,11,0.4998411603441173,1.6734693877551021,0,0,0,0,5,5,0,2015.0,1.0
1742924366864,True,y33nm,y33nm,6743.0,12,0.45755303898421396,1.64,0,0,0,0,5,5,0,1348.6,1.0
1742924376455,True,3bfnd,3bfnd,8442.0,12,0.45589972180505994,1.64,0,0,0,0,5,5,0,1688.4,1.0
1742924387707,True,yf347,yf347,9101.0,12,0.45814080578410477,1.6734693877551021,0,0,0,0,5,5,0,1820.2,1.0
1742924399621,True,pmf5w,pmf5w,9237.0,13,0.4248415156300994,1.64,0,0,0,0,5,5,0,1847.4,1.0
1742924411674,True,25257,25257,8042.0,12,0.4565553743702739,1.64,0,0,0,0,5,5,0,1608.4,1.0
1742924422520,True,x44n4,x44n4,9434.0,12,0.45242122176381533,1.64,0,0,0,0,5,5,0,1886.8,1.0
1742924434785,True,x37bf,x37bf,9806.0,11,0.4918467065050184,1.6734693877551021,0,0,0,0,5,5,0,1961.2,1.0
1742924447419,False,y2ye8,2ye8,8669.0,13,0.42366204292577014,1.64,0,0,0,0,4,4,1,2167.25,1.0
1742924458918,True,e6b7y,e6b7y,9536.0,12,0.45642887049526,1.64,0,0,0,0,5,5,0,1907.2,1.0
1742924471278,False,mx8bb,mnx8bb,8637.0,12,0.4559393722712987,1.64,0,0,0,0,6,6,1,1439.5,1.0
1742924482722,True,gbxyy,gbxyy,9809.0,13,0.44183392505551095,1.64,0,0,0,0,5,5,0,1961.8,1.0
1742924495345,False,xmcym,7mcym,7443.0,12,0.4604583639791829,1.6734693877551021,0,0,0,0,5,5,1,1488.6,1.0
1742924505614,True,78eec,78eec,8778.0,12,0.438476742217697,1.64,0,0,0,0,5,5,0,1755.6,1.0
1742924517214,True,38n57,38n57,8972.0,12,0.415281956593821,1.64,0,0,0,0,5,5,0,1794.4,1.0
1742924529009,True,3b4we,3b4we,8451.0,12,0.46803525907053256,1.64,0,0,0,0,5,5,0,1690.2,1.0
1742924540277,False,mwdf6,nwdf6,9684.0,12,0.4554422739046236,1.64,0,0,0,0,5,5,1,1936.8,1.0
1742924552785,True,f5cm2,f5cm2,8654.0,12,0.45640335355538236,1.64,0,0,0,0,5,5,0,1730.8,1.0
1742924564272,False,mcc2x,mcc2,6966.0,12,0.458883773848729,1.64,0,0,0,0,4,4,1,1741.5,1.0
1742924574043,True,nmy2x,nmy2x,9338.0,13,0.4398780717082549,1.64,0,0,0,0,5,5,0,1867.6,1.0
1742924586189,True,428b6,428b6,8473.0,13,0.4241615162702916,1.64,0,0,0,0,5,5,0,1694.6,1.0
1742924597486,True,4exnn,4exnn,9452.0,13,0.4228037942683909,1.6734693877551021,0,0,0,0,5,5,0,1890.4,1.0
1742924609740,True,nbwnn,nbwnn,9500.0,12,0.4574454133063872,1.6734693877551021,0,0,0,0,5,5,0,1900.0,1.0
1742924622035,True,2356g,2356g,10813.0,12,0.45307446766153636,1.64,0,0,0,0,5,5,0,2162.6,1.0
1742924635666,True,5xd2e,5xd2e,7806.0,12,0.4462779992688153,1.64,0,0,0,0,5,5,0,1561.2,1.0
1742924646281,True,nf2n8,nf2n8,10042.0,13,0.43358810246261353,1.64,0,0,0,0,5,5,0,2008.4,1.0
1742924659133,True,w75w8,w75w8,7538.0,12,0.4557174662042116,1.64,0,0,0,0,5,5,0,1507.6,1.0
1742924669472,True,wbncw,wbncw,7983.0,13,0.42472638014979375,1.6734693877551021,0,0,0,0,5,5,0,1596.6,1.0
1742924680286,True,b55d6,b55d6,10366.0,12,0.45871964399278314,1.64,0,0,0,0,5,5,0,2073.2,1.0
1742924693470,True,x44n4,x44n4,8783.0,12,0.45754271529454194,1.64,0,0,0,0,5,5,0,1756.6,1.0
1742924705059,True,pbpgc,pbpgc,8762.0,13,0.42466357831081525,1.64,0,0,0,0,5,5,0,1752.4,1.0
1742924716609,True,6ecbn,6ecbn,8483.0,12,0.4553552727331705,1.64,0,0,0,0,5,5,0,1696.6,1.0
1742924727916,True,x4pnp,x4pnp,7214.0,13,0.46661281245483843,2.342857142857143,0,0,0,0,5,5,0,1442.8,1.0
1742924737955,True,b55d6,b55d6,9706.0,10,0.5283270741221487,1.64,0,0,0,0,5,5,0,1941.2,1.0
1742924750506,True,56ncx,56ncx,6243.0,35,0.5299898632553555,3.9250796170268956,0,0,0,0,5,5,0,1248.6,1.0
1742924759571,True,3den6,3den6,9416.0,11,0.5006087098775969,1.64,0,0,0,0,5,5,0,1883.2,1.0
1742924771792,True,nxx25,nxx25,10403.0,12,0.4613556763291105,1.64,0,0,0,0,5,5,0,2080.6,1.0
1742924785041,False,pm363,pmn363,8784.0,12,0.43807889748514145,1.64,0,0,0,0,6,6,1,1464.0,1.0
1742924796660,True,dbex3,dbex3,8381.0,11,0.47617890013306796,1.64,0,0,0,0,5,5,0,1676.2,1.0
1742924807862,False,nbf8m,nbf8n,9009.0,13,0.43296506536447504,1.64,0,0,0,0,5,5,1,1801.8,1.0
1742924819688,True,fg7mg,fg7mg,9535.0,11,0.500691760040358,1.64,0,0,0,0,5,5,0,1907.0,1.0
1742924832054,True,y53c2,y53c2,8699.0,12,0.4561560685287947,1.64,0,0,0,0,5,5,0,1739.8,1.0
1742924843615,True,f6ne5,f6ne5,9231.0,12,0.5025631990645567,2.2777777777777777,0,0,0,0,5,5,0,1846.2,1.0
1742924855681,True,gp22x,gp22x,8960.0,11,0.498740044671665,1.64,0,0,0,0,5,5,0,1792.0,1.0
1742924867452,True,myf82,myf82,8016.0,12,0.42890114762598347,1.7083333333333333,0,0,0,0,5,5,0,1603.2,1.0
